"xdid","position","lon","lat","direction"
1450789864,446,-87.32034,41.48822,"N"
1450792570,83,-87.22375,40.94958,"S"
1363490788,173,-86.72303,40.30285,"S"
1363540558,194,-86.54886,40.16937,"S"
1363551790,241,-86.2749,39.86396,"S"
1363609346,297,-86.05568,39.57132,"S"
1363614828,425,-85.78239,38.61809,"S"
1450788409,376,-87.20757,40.90172,"N"
1450789628,396,-87.2705,41.06255,"N"
1450792538,77,-87.26201,40.99221,"S"
1346388971,355,-87.09634,40.73956,"N"
1363433198,234,-86.32603,39.91512,"S"
1363485106,295,-86.74829,40.31957,"N"
1363500148,461,-85.7543,38.32971,"S"
1363533355,12,-85.75401,38.3463,"N"
1363609229,346,-85.9589,39.19676,"S"
1363626275,126,-85.95429,39.23701,"N"
1450761686,440,-87.32141,41.44083,"N"
1450832295,48,-87.29565,41.24854,"S"
1363558238,253,-86.46741,40.0323,"N"
1363628898,224,-86.39298,39.97901,"S"
1363498774,208,-86.49401,40.05893,"S"
1363527486,183,-86.08865,39.66509,"N"
